Date,69302 Rangitata River at Klondyke,
,Discharge (m3/s),
,Mean,Quality 
1/01/2015,294.233,30
2/01/2015,164.709,30
3/01/2015,126.485,30
4/01/2015,109.859,30
5/01/2015,101.123,30
6/01/2015,97.021,30
7/01/2015,95.801,30
8/01/2015,90.306,30
9/01/2015,84.603,30
10/01/2015,79.796,30
11/01/2015,75.509,30
12/01/2015,90.57,30
13/01/2015,95.048,30
14/01/2015,82.003,30
15/01/2015,75.939,30
16/01/2015,71.68,30
17/01/2015,100.597,30
18/01/2015,111.253,30
19/01/2015,112.579,30
20/01/2015,108.25,30
21/01/2015,87.412,30
22/01/2015,74.294,30
23/01/2015,67.613,30
24/01/2015,65.127,30
25/01/2015,63.621,30
26/01/2015,62.39,30
27/01/2015,61.688,30
28/01/2015,61.116,30
29/01/2015,60.558,30
30/01/2015,61.073,30
31/01/2015,62.27,30
1/02/2015,70.38,30
2/02/2015,107.601,30
3/02/2015,215.556,30
4/02/2015,130.677,30
5/02/2015,118.442,30
6/02/2015,91.322,30
7/02/2015,77.104,30
8/02/2015,70.484,30
9/02/2015,69.974,30
10/02/2015,84.986,30
11/02/2015,71.59,30
12/02/2015,65.895,30
13/02/2015,62.53,30
14/02/2015,61.109,30
15/02/2015,57.804,30
16/02/2015,54.433,30
17/02/2015,52.48,30
18/02/2015,51.371,10
19/02/2015,50.881,10
20/02/2015,50.788,10
21/02/2015,49.96,10
22/02/2015,53.24,10
23/02/2015,50.745,10
24/02/2015,50.084,10
25/02/2015,49.145,10
26/02/2015,50.457,10
27/02/2015,48.898,10
28/02/2015,47.715,10
1/03/2015,48.765,10
2/03/2015,52.698,10
3/03/2015,66.686,10
4/03/2015,71.499,10
5/03/2015,60.257,10
6/03/2015,93.712,10
7/03/2015,157.149,10
8/03/2015,130.765,10
9/03/2015,88.101,10
10/03/2015,73.7,10
11/03/2015,67.593,10
12/03/2015,62.892,10
13/03/2015,60.319,10
14/03/2015,58.858,10
15/03/2015,55.97,10
16/03/2015,53.896,10
17/03/2015,52.566,10
18/03/2015,50.721,10
19/03/2015,49.245,10
20/03/2015,48.14,10
21/03/2015,46.939,10
22/03/2015,50.227,10
23/03/2015,48.942,10
24/03/2015,47.306,10
25/03/2015,46.481,10
26/03/2015,45.975,10
27/03/2015,45.59,10
28/03/2015,45.341,10
29/03/2015,45.423,10
30/03/2015,46.546,10
31/03/2015,45.933,10
