"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,7,2.86052889074387,13.8919728455857
"2",-0.05,5,-4.8770575499286,0,0,3.62166926451765
"3",0,5,0,4,1.10044939861882,9.92571567126599
"4",0.05,5,5.12710963760241,3,0.62299715383064,8.517605297428
"5",0.1,5,10.5170918075648,11,5.62070202854874,18.8301132196443
"6",-0.1,6,-9.51625819640405,0,0,3.62166926451765
"7",-0.05,6,-4.8770575499286,2,0.243133682394259,7.03839324710701
"8",0,6,0,3,0.62299715383064,8.517605297428
"9",0.05,6,5.12710963760241,2,0.243133682394259,7.03839324710701
"10",0.1,6,10.5170918075648,7,2.86052889074387,13.8919728455857
"11",-0.1,7,-9.51625819640405,8,3.51715625181628,15.1557635864421
"12",-0.05,7,-4.8770575499286,4,1.10044939861882,9.92571567126599
"13",0,7,0,3,0.62299715383064,8.517605297428
"14",0.05,7,5.12710963760241,5,1.64318791820521,11.2834911105463
"15",0.1,7,10.5170918075648,7,2.86052889074387,13.8919728455857
"16",-0.1,8,-9.51625819640405,5,1.64318791820521,11.2834911105463
"17",-0.05,8,-4.8770575499286,4,1.10044939861882,9.92571567126599
"18",0,8,0,6,2.23348860713164,12.6029934580823
"19",0.05,8,5.12710963760241,4,1.10044939861882,9.92571567126599
"20",0.1,8,10.5170918075648,10,4.90046892214859,17.6222597740023
"21",-0.1,9,-9.51625819640405,8,3.51715625181628,15.1557635864421
"22",-0.05,9,-4.8770575499286,7,2.86052889074387,13.8919728455857
"23",0,9,0,1,0.0253146032977436,5.44593853920806
"24",0.05,9,5.12710963760241,8,3.51715625181628,15.1557635864421
"25",0.1,9,10.5170918075648,19,11.8443196132544,28.0697957973613
"26",-0.1,10,-9.51625819640405,8,3.51715625181628,15.1557635864421
"27",-0.05,10,-4.8770575499286,7,2.86052889074387,13.8919728455857
"28",0,10,0,6,2.23348860713164,12.6029934580823
"29",0.05,10,5.12710963760241,5,1.64318791820521,11.2834911105463
"30",0.1,10,10.5170918075648,27,18.6066422290741,36.8016272908975
"31",-0.1,11,-9.51625819640405,10,4.90046892214859,17.6222597740023
"32",-0.05,11,-4.8770575499286,3,0.62299715383064,8.517605297428
"33",0,11,0,9,4.19835956283923,16.3982255029635
"34",0.05,11,5.12710963760241,11,5.62070202854874,18.8301132196443
"35",0.1,11,10.5170918075648,35,25.7293778531451,45.184936182397
"36",-0.1,12,-9.51625819640405,14,7.87054049269658,22.3727981370568
"37",-0.05,12,-4.8770575499286,11,5.62070202854874,18.8301132196443
"38",0,12,0,8,3.51715625181628,15.1557635864421
"39",0.05,12,5.12710963760241,14,7.87054049269658,22.3727981370568
"40",0.1,12,10.5170918075648,55,44.7280188773936,64.9679770760328
"41",-0.1,13,-9.51625819640405,19,11.8443196132544,28.0697957973613
"42",-0.05,13,-4.8770575499286,5,1.64318791820521,11.2834911105463
"43",0,13,0,3,0.62299715383064,8.517605297428
"44",0.05,13,5.12710963760241,31,22.1288792130671,41.0314554160199
"45",0.1,13,10.5170918075648,59,48.7144203766771,68.7380023432429
"46",-0.1,14,-9.51625819640405,19,11.8443196132544,28.0697957973613
"47",-0.05,14,-4.8770575499286,10,4.90046892214859,17.6222597740023
"48",0,14,0,7,2.86052889074387,13.8919728455857
"49",0.05,14,5.12710963760241,31,22.1288792130671,41.0314554160199
"50",0.1,14,10.5170918075648,66,55.8466732249041,75.1776498455156
"51",-0.1,15,-9.51625819640405,15,8.64543856416485,23.5307500148955
"52",-0.05,15,-4.8770575499286,17,10.2264910035528,25.8175410632159
"53",0,15,0,9,4.19835956283923,16.3982255029635
"54",0.05,15,5.12710963760241,31,22.1288792130671,41.0314554160199
"55",0.1,15,10.5170918075648,81,71.9302042026387,88.1556803867456
"56",-0.1,16,-9.51625819640405,28,19.4793627491181,37.8667004717267
"57",-0.05,16,-4.8770575499286,11,5.62070202854874,18.8301132196443
"58",0,16,0,18,11.0311229153261,26.9477085966812
"59",0.05,16,5.12710963760241,36,26.6408422733235,46.2121893327423
"60",0.1,16,10.5170918075648,84,75.3212402589138,90.5689710026054
"61",-0.1,17,-9.51625819640405,25,16.8779738099342,34.6552495758808
"62",-0.05,17,-4.8770575499286,13,7.10730461854295,21.204067708745
"63",0,17,0,21,13.4943695705329,30.2915379350541
"64",0.05,17,5.12710963760241,33,23.9198534622602,43.1172750777563
"65",0.1,17,10.5170918075648,87,78.795932291255,92.892695381457
"66",-0.1,18,-9.51625819640405,28,19.4793627491181,37.8667004717267
"67",-0.05,18,-4.8770575499286,23,15.1731611301048,32.4858732775103
"68",0,18,0,10,4.90046892214859,17.6222597740023
"69",0.05,18,5.12710963760241,42,32.1985539354797,52.2880804276086
"70",0.1,18,10.5170918075648,94,87.3970065419177,97.7665113928684
"71",-0.1,19,-9.51625819640405,37,27.5566579614551,47.2351640551683
"72",-0.05,19,-4.8770575499286,29,20.3574189250732,38.9265958907448
"73",0,19,0,16,9.43102899739462,24.6787597410862
"74",0.05,19,5.12710963760241,51,40.8036329155454,61.1355834838362
"75",0.1,19,10.5170918075648,92,84.8442364135579,96.4828437481837
"76",-0.1,20,-9.51625819640405,46,35.9843352979412,56.2588420133529
"77",-0.05,20,-4.8770575499286,29,20.3574189250732,38.9265958907448
"78",0,20,0,18,11.0311229153261,26.9477085966812
"79",0.05,20,5.12710963760241,46,35.9843352979412,56.2588420133529
"80",0.1,20,10.5170918075648,99,94.5540614607919,99.9746853967023
