"","SBBG.effect","SBBG.years","SBBG.perc_change","SBBG.power","SBBG.lower","SBBG.upper"
"1",-0.1,5,-9.51625819640405,0,0,3.62166926451765
"2",-0.05,5,-4.8770575499286,0,0,3.62166926451765
"3",0,5,0,0,0,3.62166926451765
"4",0.05,5,5.12710963760241,0,0,3.62166926451765
"5",0.1,5,10.5170918075648,0,0,3.62166926451765
"6",-0.1,6,-9.51625819640405,0,0,3.62166926451765
"7",-0.05,6,-4.8770575499286,0,0,3.62166926451765
"8",0,6,0,1,0.0253146032977436,5.44593853920806
"9",0.05,6,5.12710963760241,1,0.0253146032977436,5.44593853920806
"10",0.1,6,10.5170918075648,0,0,3.62166926451765
"11",-0.1,7,-9.51625819640405,0,0,3.62166926451765
"12",-0.05,7,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"13",0,7,0,1,0.0253146032977436,5.44593853920806
"14",0.05,7,5.12710963760241,0,0,3.62166926451765
"15",0.1,7,10.5170918075648,1,0.0253146032977436,5.44593853920806
"16",-0.1,8,-9.51625819640405,0,0,3.62166926451765
"17",-0.05,8,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"18",0,8,0,0,0,3.62166926451765
"19",0.05,8,5.12710963760241,0,0,3.62166926451765
"20",0.1,8,10.5170918075648,1,0.0253146032977436,5.44593853920806
"21",-0.1,9,-9.51625819640405,0,0,3.62166926451765
"22",-0.05,9,-4.8770575499286,2,0.243133682394259,7.03839324710701
"23",0,9,0,0,0,3.62166926451765
"24",0.05,9,5.12710963760241,0,0,3.62166926451765
"25",0.1,9,10.5170918075648,0,0,3.62166926451765
"26",-0.1,10,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"27",-0.05,10,-4.8770575499286,0,0,3.62166926451765
"28",0,10,0,0,0,3.62166926451765
"29",0.05,10,5.12710963760241,1,0.0253146032977436,5.44593853920806
"30",0.1,10,10.5170918075648,2,0.243133682394259,7.03839324710701
"31",-0.1,11,-9.51625819640405,0,0,3.62166926451765
"32",-0.05,11,-4.8770575499286,0,0,3.62166926451765
"33",0,11,0,0,0,3.62166926451765
"34",0.05,11,5.12710963760241,0,0,3.62166926451765
"35",0.1,11,10.5170918075648,0,0,3.62166926451765
"36",-0.1,12,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"37",-0.05,12,-4.8770575499286,0,0,3.62166926451765
"38",0,12,0,0,0,3.62166926451765
"39",0.05,12,5.12710963760241,1,0.0253146032977436,5.44593853920806
"40",0.1,12,10.5170918075648,2,0.243133682394259,7.03839324710701
"41",-0.1,13,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"42",-0.05,13,-4.8770575499286,0,0,3.62166926451765
"43",0,13,0,0,0,3.62166926451765
"44",0.05,13,5.12710963760241,1,0.0253146032977436,5.44593853920806
"45",0.1,13,10.5170918075648,2,0.243133682394259,7.03839324710701
"46",-0.1,14,-9.51625819640405,0,0,3.62166926451765
"47",-0.05,14,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"48",0,14,0,0,0,3.62166926451765
"49",0.05,14,5.12710963760241,2,0.243133682394259,7.03839324710701
"50",0.1,14,10.5170918075648,2,0.243133682394259,7.03839324710701
"51",-0.1,15,-9.51625819640405,0,0,3.62166926451765
"52",-0.05,15,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"53",0,15,0,0,0,3.62166926451765
"54",0.05,15,5.12710963760241,0,0,3.62166926451765
"55",0.1,15,10.5170918075648,5,1.64318791820521,11.2834911105463
"56",-0.1,16,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"57",-0.05,16,-4.8770575499286,0,0,3.62166926451765
"58",0,16,0,1,0.0253146032977436,5.44593853920806
"59",0.05,16,5.12710963760241,2,0.243133682394259,7.03839324710701
"60",0.1,16,10.5170918075648,9,4.19835956283923,16.3982255029635
"61",-0.1,17,-9.51625819640405,0,0,3.62166926451765
"62",-0.05,17,-4.8770575499286,0,0,3.62166926451765
"63",0,17,0,0,0,3.62166926451765
"64",0.05,17,5.12710963760241,1,0.0253146032977436,5.44593853920806
"65",0.1,17,10.5170918075648,8,3.51715625181628,15.1557635864421
"66",-0.1,18,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"67",-0.05,18,-4.8770575499286,0,0,3.62166926451765
"68",0,18,0,2,0.243133682394259,7.03839324710701
"69",0.05,18,5.12710963760241,2,0.243133682394259,7.03839324710701
"70",0.1,18,10.5170918075648,10,4.90046892214859,17.6222597740023
"71",-0.1,19,-9.51625819640405,0,0,3.62166926451765
"72",-0.05,19,-4.8770575499286,2,0.243133682394259,7.03839324710701
"73",0,19,0,1,0.0253146032977436,5.44593853920806
"74",0.05,19,5.12710963760241,3,0.62299715383064,8.517605297428
"75",0.1,19,10.5170918075648,20,12.6655552101956,29.1842689088628
"76",-0.1,20,-9.51625819640405,0,0,3.62166926451765
"77",-0.05,20,-4.8770575499286,0,0,3.62166926451765
"78",0,20,0,1,0.0253146032977436,5.44593853920806
"79",0.05,20,5.12710963760241,2,0.243133682394259,7.03839324710701
"80",0.1,20,10.5170918075648,22,14.3303576749815,31.3919653786318
