"","Spur_winged_plover.effect","Spur_winged_plover.years","Spur_winged_plover.perc_change","Spur_winged_plover.power","Spur_winged_plover.lower","Spur_winged_plover.upper"
"1",-0.1,5,-9.51625819640405,0,0,3.62166926451765
"2",-0.05,5,-4.8770575499286,0,0,3.62166926451765
"3",0,5,0,0,0,3.62166926451765
"4",0.05,5,5.12710963760241,0,0,3.62166926451765
"5",0.1,5,10.5170918075648,0,0,3.62166926451765
"6",-0.1,6,-9.51625819640405,0,0,3.62166926451765
"7",-0.05,6,-4.8770575499286,0,0,3.62166926451765
"8",0,6,0,0,0,3.62166926451765
"9",0.05,6,5.12710963760241,0,0,3.62166926451765
"10",0.1,6,10.5170918075648,0,0,3.62166926451765
"11",-0.1,7,-9.51625819640405,0,0,3.62166926451765
"12",-0.05,7,-4.8770575499286,0,0,3.62166926451765
"13",0,7,0,0,0,3.62166926451765
"14",0.05,7,5.12710963760241,0,0,3.62166926451765
"15",0.1,7,10.5170918075648,0,0,3.62166926451765
"16",-0.1,8,-9.51625819640405,0,0,3.62166926451765
"17",-0.05,8,-4.8770575499286,0,0,3.62166926451765
"18",0,8,0,0,0,3.62166926451765
"19",0.05,8,5.12710963760241,0,0,3.62166926451765
"20",0.1,8,10.5170918075648,0,0,3.62166926451765
"21",-0.1,9,-9.51625819640405,0,0,3.62166926451765
"22",-0.05,9,-4.8770575499286,0,0,3.62166926451765
"23",0,9,0,0,0,3.62166926451765
"24",0.05,9,5.12710963760241,0,0,3.62166926451765
"25",0.1,9,10.5170918075648,0,0,3.62166926451765
"26",-0.1,10,-9.51625819640405,0,0,3.62166926451765
"27",-0.05,10,-4.8770575499286,0,0,3.62166926451765
"28",0,10,0,0,0,3.62166926451765
"29",0.05,10,5.12710963760241,0,0,3.62166926451765
"30",0.1,10,10.5170918075648,0,0,3.62166926451765
"31",-0.1,11,-9.51625819640405,0,0,3.62166926451765
"32",-0.05,11,-4.8770575499286,0,0,3.62166926451765
"33",0,11,0,0,0,3.62166926451765
"34",0.05,11,5.12710963760241,0,0,3.62166926451765
"35",0.1,11,10.5170918075648,0,0,3.62166926451765
"36",-0.1,12,-9.51625819640405,0,0,3.62166926451765
"37",-0.05,12,-4.8770575499286,0,0,3.62166926451765
"38",0,12,0,0,0,3.62166926451765
"39",0.05,12,5.12710963760241,0,0,3.62166926451765
"40",0.1,12,10.5170918075648,0,0,3.62166926451765
"41",-0.1,13,-9.51625819640405,0,0,3.62166926451765
"42",-0.05,13,-4.8770575499286,0,0,3.62166926451765
"43",0,13,0,0,0,3.62166926451765
"44",0.05,13,5.12710963760241,0,0,3.62166926451765
"45",0.1,13,10.5170918075648,0,0,3.62166926451765
"46",-0.1,14,-9.51625819640405,0,0,3.62166926451765
"47",-0.05,14,-4.8770575499286,0,0,3.62166926451765
"48",0,14,0,0,0,3.62166926451765
"49",0.05,14,5.12710963760241,0,0,3.62166926451765
"50",0.1,14,10.5170918075648,0,0,3.62166926451765
"51",-0.1,15,-9.51625819640405,0,0,3.62166926451765
"52",-0.05,15,-4.8770575499286,0,0,3.62166926451765
"53",0,15,0,0,0,3.62166926451765
"54",0.05,15,5.12710963760241,0,0,3.62166926451765
"55",0.1,15,10.5170918075648,0,0,3.62166926451765
"56",-0.1,16,-9.51625819640405,0,0,3.62166926451765
"57",-0.05,16,-4.8770575499286,0,0,3.62166926451765
"58",0,16,0,0,0,3.62166926451765
"59",0.05,16,5.12710963760241,0,0,3.62166926451765
"60",0.1,16,10.5170918075648,0,0,3.62166926451765
"61",-0.1,17,-9.51625819640405,0,0,3.62166926451765
"62",-0.05,17,-4.8770575499286,0,0,3.62166926451765
"63",0,17,0,0,0,3.62166926451765
"64",0.05,17,5.12710963760241,0,0,3.62166926451765
"65",0.1,17,10.5170918075648,0,0,3.62166926451765
"66",-0.1,18,-9.51625819640405,0,0,3.62166926451765
"67",-0.05,18,-4.8770575499286,0,0,3.62166926451765
"68",0,18,0,0,0,3.62166926451765
"69",0.05,18,5.12710963760241,0,0,3.62166926451765
"70",0.1,18,10.5170918075648,0,0,3.62166926451765
"71",-0.1,19,-9.51625819640405,0,0,3.62166926451765
"72",-0.05,19,-4.8770575499286,0,0,3.62166926451765
"73",0,19,0,0,0,3.62166926451765
"74",0.05,19,5.12710963760241,0,0,3.62166926451765
"75",0.1,19,10.5170918075648,0,0,3.62166926451765
"76",-0.1,20,-9.51625819640405,0,0,3.62166926451765
"77",-0.05,20,-4.8770575499286,0,0,3.62166926451765
"78",0,20,0,0,0,3.62166926451765
"79",0.05,20,5.12710963760241,0,0,3.62166926451765
"80",0.1,20,10.5170918075648,0,0,3.62166926451765
