"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,13,7.10730461854295,21.204067708745
"2",-0.05,5,-4.8770575499286,12,6.35689025611593,20.0235683619969
"3",0,5,0,7,2.86052889074387,13.8919728455857
"4",0.05,5,5.12710963760241,8,3.51715625181628,15.1557635864421
"5",0.1,5,10.5170918075648,11,5.62070202854874,18.8301132196443
"6",-0.1,6,-9.51625819640405,21,13.4943695705329,30.2915379350541
"7",-0.05,6,-4.8770575499286,5,1.64318791820521,11.2834911105463
"8",0,6,0,4,1.10044939861882,9.92571567126599
"9",0.05,6,5.12710963760241,7,2.86052889074387,13.8919728455857
"10",0.1,6,10.5170918075648,18,11.0311229153261,26.9477085966812
"11",-0.1,7,-9.51625819640405,29,20.3574189250732,38.9265958907448
"12",-0.05,7,-4.8770575499286,12,6.35689025611593,20.0235683619969
"13",0,7,0,9,4.19835956283923,16.3982255029635
"14",0.05,7,5.12710963760241,10,4.90046892214859,17.6222597740023
"15",0.1,7,10.5170918075648,33,23.9198534622602,43.1172750777563
"16",-0.1,8,-9.51625819640405,56,45.7187497063317,65.9163976276542
"17",-0.05,8,-4.8770575499286,23,15.1731611301048,32.4858732775103
"18",0,8,0,5,1.64318791820521,11.2834911105463
"19",0.05,8,5.12710963760241,14,7.87054049269658,22.3727981370568
"20",0.1,8,10.5170918075648,35,25.7293778531451,45.184936182397
"21",-0.1,9,-9.51625819640405,63,52.7648359448317,72.4433420385449
"22",-0.05,9,-4.8770575499286,18,11.0311229153261,26.9477085966812
"23",0,9,0,6,2.23348860713164,12.6029934580823
"24",0.05,9,5.12710963760241,9,4.19835956283923,16.3982255029635
"25",0.1,9,10.5170918075648,48,37.9005480177959,58.2210234593693
"26",-0.1,10,-9.51625819640405,68,57.9233138368377,76.9780083238423
"27",-0.05,10,-4.8770575499286,28,19.4793627491181,37.8667004717267
"28",0,10,0,5,1.64318791820521,11.2834911105463
"29",0.05,10,5.12710963760241,16,9.43102899739462,24.6787597410862
"30",0.1,10,10.5170918075648,73,63.1983727091025,81.3933577709259
"31",-0.1,11,-9.51625819640405,78,68.6080346213682,85.6696423250185
"32",-0.05,11,-4.8770575499286,28,19.4793627491181,37.8667004717267
"33",0,11,0,5,1.64318791820521,11.2834911105463
"34",0.05,11,5.12710963760241,28,19.4793627491181,37.8667004717267
"35",0.1,11,10.5170918075648,81,71.9302042026387,88.1556803867456
"36",-0.1,12,-9.51625819640405,94,87.3970065419177,97.7665113928684
"37",-0.05,12,-4.8770575499286,41,31.2619976567571,51.2855796233229
"38",0,12,0,6,2.23348860713164,12.6029934580823
"39",0.05,12,5.12710963760241,26,17.7394437867653,35.7312063100104
"40",0.1,12,10.5170918075648,86,77.6272018629432,92.1294595073034
"41",-0.1,13,-9.51625819640405,90,82.3777402259977,95.0995310778514
"42",-0.05,13,-4.8770575499286,41,31.2619976567571,51.2855796233229
"43",0,13,0,8,3.51715625181628,15.1557635864421
"44",0.05,13,5.12710963760241,38,28.4767476141479,48.2539305750807
"45",0.1,13,10.5170918075648,90,82.3777402259977,95.0995310778514
"46",-0.1,14,-9.51625819640405,97,91.482394702572,99.3770028461694
"47",-0.05,14,-4.8770575499286,46,35.9843352979412,56.2588420133529
"48",0,14,0,4,1.10044939861882,9.92571567126599
"49",0.05,14,5.12710963760241,52,41.7789765406307,62.0994519822041
"50",0.1,14,10.5170918075648,99,94.5540614607919,99.9746853967023
"51",-0.1,15,-9.51625819640405,98,92.961606752893,99.7568663176057
"52",-0.05,15,-4.8770575499286,68,57.9233138368377,76.9780083238423
"53",0,15,0,4,1.10044939861882,9.92571567126599
"54",0.05,15,5.12710963760241,70,60.0185323820196,78.7593579510463
"55",0.1,15,10.5170918075648,99,94.5540614607919,99.9746853967023
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,67,56.8827249222437,76.0801465377398
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,65,54.815063817603,74.2706221468549
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,76,66.4264510729002,83.9775386828553
"63",0,17,0,2,0.243133682394259,7.03839324710701
"64",0.05,17,5.12710963760241,78,68.6080346213682,85.6696423250185
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,83,74.1824589367841,89.7735089964472
"68",0,18,0,5,1.64318791820521,11.2834911105463
"69",0.05,18,5.12710963760241,76,66.4264510729002,83.9775386828553
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,94,87.3970065419177,97.7665113928684
"73",0,19,0,5,1.64318791820521,11.2834911105463
"74",0.05,19,5.12710963760241,89,81.1698867803557,94.3792979714513
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,92,84.8442364135579,96.4828437481837
"78",0,20,0,4,1.10044939861882,9.92571567126599
"79",0.05,20,5.12710963760241,97,91.482394702572,99.3770028461694
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
