"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,38,28.4767476141479,48.2539305750807
"2",-0.05,5,-4.8770575499286,22,14.3303576749815,31.3919653786318
"3",0,5,0,6,2.23348860713164,12.6029934580823
"4",0.05,5,5.12710963760241,10,4.90046892214859,17.6222597740023
"5",0.1,5,10.5170918075648,28,19.4793627491181,37.8667004717267
"6",-0.1,6,-9.51625819640405,53,42.7581484890045,63.0594835805606
"7",-0.05,6,-4.8770575499286,21,13.4943695705329,30.2915379350541
"8",0,6,0,4,1.10044939861882,9.92571567126599
"9",0.05,6,5.12710963760241,13,7.10730461854295,21.204067708745
"10",0.1,6,10.5170918075648,45,35.0320229239672,55.2719811226064
"11",-0.1,7,-9.51625819640405,82,73.0522914033188,88.9688770846739
"12",-0.05,7,-4.8770575499286,35,25.7293778531451,45.184936182397
"13",0,7,0,5,1.64318791820521,11.2834911105463
"14",0.05,7,5.12710963760241,19,11.8443196132544,28.0697957973613
"15",0.1,7,10.5170918075648,74,64.2687936899896,82.2605562132348
"16",-0.1,8,-9.51625819640405,87,78.795932291255,92.892695381457
"17",-0.05,8,-4.8770575499286,50,39.8321129503301,60.1678870496699
"18",0,8,0,7,2.86052889074387,13.8919728455857
"19",0.05,8,5.12710963760241,16,9.43102899739462,24.6787597410862
"20",0.1,8,10.5170918075648,72,62.1332995282733,80.5206372508819
"21",-0.1,9,-9.51625819640405,86,77.6272018629432,92.1294595073034
"22",-0.05,9,-4.8770575499286,51,40.8036329155454,61.1355834838362
"23",0,9,0,5,1.64318791820521,11.2834911105463
"24",0.05,9,5.12710963760241,43,33.1391016631383,53.2866261675154
"25",0.1,9,10.5170918075648,95,88.7165088894537,98.3568120817948
"26",-0.1,10,-9.51625819640405,97,91.482394702572,99.3770028461694
"27",-0.05,10,-4.8770575499286,66,55.8466732249041,75.1776498455156
"28",0,10,0,3,0.62299715383064,8.517605297428
"29",0.05,10,5.12710963760241,62,51.7460694249193,71.5232523858521
"30",0.1,10,10.5170918075648,97,91.482394702572,99.3770028461694
"31",-0.1,11,-9.51625819640405,97,91.482394702572,99.3770028461694
"32",-0.05,11,-4.8770575499286,68,57.9233138368377,76.9780083238423
"33",0,11,0,4,1.10044939861882,9.92571567126599
"34",0.05,11,5.12710963760241,73,63.1983727091025,81.3933577709259
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,100,96.3783307354824,100
"37",-0.05,12,-4.8770575499286,82,73.0522914033188,88.9688770846739
"38",0,12,0,7,2.86052889074387,13.8919728455857
"39",0.05,12,5.12710963760241,71,61.0734041092552,79.6425810749268
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,100,96.3783307354824,100
"42",-0.05,13,-4.8770575499286,89,81.1698867803557,94.3792979714513
"43",0,13,0,5,1.64318791820521,11.2834911105463
"44",0.05,13,5.12710963760241,90,82.3777402259977,95.0995310778514
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,93,86.1080271544143,97.1394711092561
"48",0,14,0,7,2.86052889074387,13.8919728455857
"49",0.05,14,5.12710963760241,97,91.482394702572,99.3770028461694
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,96,90.074284328734,98.8995506013812
"53",0,15,0,8,3.51715625181628,15.1557635864421
"54",0.05,15,5.12710963760241,100,96.3783307354824,100
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,97,91.482394702572,99.3770028461694
"58",0,16,0,6,2.23348860713164,12.6029934580823
"59",0.05,16,5.12710963760241,100,96.3783307354824,100
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,100,96.3783307354824,100
"63",0,17,0,6,2.23348860713164,12.6029934580823
"64",0.05,17,5.12710963760241,99,94.5540614607919,99.9746853967023
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,100,96.3783307354824,100
"68",0,18,0,6,2.23348860713164,12.6029934580823
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,99,94.5540614607919,99.9746853967023
"73",0,19,0,7,2.86052889074387,13.8919728455857
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,100,96.3783307354824,100
"78",0,20,0,5,1.64318791820521,11.2834911105463
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
