"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,21,13.4943695705329,30.2915379350541
"2",-0.05,5,-4.8770575499286,10,4.90046892214859,17.6222597740023
"3",0,5,0,20,12.6655552101956,29.1842689088628
"4",0.05,5,5.12710963760241,12,6.35689025611593,20.0235683619969
"5",0.1,5,10.5170918075648,20,12.6655552101956,29.1842689088628
"6",-0.1,6,-9.51625819640405,20,12.6655552101956,29.1842689088628
"7",-0.05,6,-4.8770575499286,17,10.2264910035528,25.8175410632159
"8",0,6,0,18,11.0311229153261,26.9477085966812
"9",0.05,6,5.12710963760241,24,16.0224613171447,33.5735489270998
"10",0.1,6,10.5170918075648,24,16.0224613171447,33.5735489270998
"11",-0.1,7,-9.51625819640405,15,8.64543856416485,23.5307500148955
"12",-0.05,7,-4.8770575499286,15,8.64543856416485,23.5307500148955
"13",0,7,0,11,5.62070202854874,18.8301132196443
"14",0.05,7,5.12710963760241,13,7.10730461854295,21.204067708745
"15",0.1,7,10.5170918075648,13,7.10730461854295,21.204067708745
"16",-0.1,8,-9.51625819640405,23,15.1731611301048,32.4858732775103
"17",-0.05,8,-4.8770575499286,8,3.51715625181628,15.1557635864421
"18",0,8,0,15,8.64543856416485,23.5307500148955
"19",0.05,8,5.12710963760241,10,4.90046892214859,17.6222597740023
"20",0.1,8,10.5170918075648,13,7.10730461854295,21.204067708745
"21",-0.1,9,-9.51625819640405,19,11.8443196132544,28.0697957973613
"22",-0.05,9,-4.8770575499286,10,4.90046892214859,17.6222597740023
"23",0,9,0,7,2.86052889074387,13.8919728455857
"24",0.05,9,5.12710963760241,8,3.51715625181628,15.1557635864421
"25",0.1,9,10.5170918075648,15,8.64543856416485,23.5307500148955
"26",-0.1,10,-9.51625819640405,31,22.1288792130671,41.0314554160199
"27",-0.05,10,-4.8770575499286,11,5.62070202854874,18.8301132196443
"28",0,10,0,9,4.19835956283923,16.3982255029635
"29",0.05,10,5.12710963760241,12,6.35689025611593,20.0235683619969
"30",0.1,10,10.5170918075648,36,26.6408422733235,46.2121893327423
"31",-0.1,11,-9.51625819640405,36,26.6408422733235,46.2121893327423
"32",-0.05,11,-4.8770575499286,12,6.35689025611593,20.0235683619969
"33",0,11,0,10,4.90046892214859,17.6222597740023
"34",0.05,11,5.12710963760241,16,9.43102899739462,24.6787597410862
"35",0.1,11,10.5170918075648,47,36.9405164194394,57.2418515109955
"36",-0.1,12,-9.51625819640405,26,17.7394437867653,35.7312063100104
"37",-0.05,12,-4.8770575499286,15,8.64543856416485,23.5307500148955
"38",0,12,0,10,4.90046892214859,17.6222597740023
"39",0.05,12,5.12710963760241,30,21.2406420489537,39.9814676179804
"40",0.1,12,10.5170918075648,46,35.9843352979412,56.2588420133529
"41",-0.1,13,-9.51625819640405,39,29.4010414853417,49.2685520367636
"42",-0.05,13,-4.8770575499286,30,21.2406420489537,39.9814676179804
"43",0,13,0,20,12.6655552101956,29.1842689088628
"44",0.05,13,5.12710963760241,21,13.4943695705329,30.2915379350541
"45",0.1,13,10.5170918075648,65,54.815063817603,74.2706221468549
"46",-0.1,14,-9.51625819640405,51,40.8036329155454,61.1355834838362
"47",-0.05,14,-4.8770575499286,24,16.0224613171447,33.5735489270998
"48",0,14,0,11,5.62070202854874,18.8301132196443
"49",0.05,14,5.12710963760241,30,21.2406420489537,39.9814676179804
"50",0.1,14,10.5170918075648,77,67.5141267224897,84.8268388698953
"51",-0.1,15,-9.51625819640405,66,55.8466732249041,75.1776498455156
"52",-0.05,15,-4.8770575499286,35,25.7293778531451,45.184936182397
"53",0,15,0,18,11.0311229153261,26.9477085966812
"54",0.05,15,5.12710963760241,46,35.9843352979412,56.2588420133529
"55",0.1,15,10.5170918075648,90,82.3777402259977,95.0995310778514
"56",-0.1,16,-9.51625819640405,79,69.7084620649459,86.5056304294671
"57",-0.05,16,-4.8770575499286,30,21.2406420489537,39.9814676179804
"58",0,16,0,18,11.0311229153261,26.9477085966812
"59",0.05,16,5.12710963760241,48,37.9005480177959,58.2210234593693
"60",0.1,16,10.5170918075648,83,74.1824589367841,89.7735089964472
"61",-0.1,17,-9.51625819640405,77,67.5141267224897,84.8268388698953
"62",-0.05,17,-4.8770575499286,52,41.7789765406307,62.0994519822041
"63",0,17,0,18,11.0311229153261,26.9477085966812
"64",0.05,17,5.12710963760241,40,30.3294768702878,50.2790849577665
"65",0.1,17,10.5170918075648,92,84.8442364135579,96.4828437481837
"66",-0.1,18,-9.51625819640405,81,71.9302042026387,88.1556803867456
"67",-0.05,18,-4.8770575499286,55,44.7280188773936,64.9679770760328
"68",0,18,0,28,19.4793627491181,37.8667004717267
"69",0.05,18,5.12710963760241,56,45.7187497063317,65.9163976276542
"70",0.1,18,10.5170918075648,98,92.961606752893,99.7568663176057
"71",-0.1,19,-9.51625819640405,84,75.3212402589138,90.5689710026054
"72",-0.05,19,-4.8770575499286,53,42.7581484890045,63.0594835805606
"73",0,19,0,22,14.3303576749815,31.3919653786318
"74",0.05,19,5.12710963760241,69,58.9685445839801,77.8711207869329
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,84,75.3212402589138,90.5689710026054
"77",-0.05,20,-4.8770575499286,62,51.7460694249193,71.5232523858521
"78",0,20,0,20,12.6655552101956,29.1842689088628
"79",0.05,20,5.12710963760241,68,57.9233138368377,76.9780083238423
"80",0.1,20,10.5170918075648,97,91.482394702572,99.3770028461694
