"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,29,20.3574189250732,38.9265958907448
"2",-0.05,5,-4.8770575499286,19,11.8443196132544,28.0697957973613
"3",0,5,0,8,3.51715625181628,15.1557635864421
"4",0.05,5,5.12710963760241,10,4.90046892214859,17.6222597740023
"5",0.1,5,10.5170918075648,35,25.7293778531451,45.184936182397
"6",-0.1,6,-9.51625819640405,29,20.3574189250732,38.9265958907448
"7",-0.05,6,-4.8770575499286,9,4.19835956283923,16.3982255029635
"8",0,6,0,2,0.243133682394259,7.03839324710701
"9",0.05,6,5.12710963760241,15,8.64543856416485,23.5307500148955
"10",0.1,6,10.5170918075648,46,35.9843352979412,56.2588420133529
"11",-0.1,7,-9.51625819640405,56,45.7187497063317,65.9163976276542
"12",-0.05,7,-4.8770575499286,21,13.4943695705329,30.2915379350541
"13",0,7,0,5,1.64318791820521,11.2834911105463
"14",0.05,7,5.12710963760241,13,7.10730461854295,21.204067708745
"15",0.1,7,10.5170918075648,62,51.7460694249193,71.5232523858521
"16",-0.1,8,-9.51625819640405,79,69.7084620649459,86.5056304294671
"17",-0.05,8,-4.8770575499286,31,22.1288792130671,41.0314554160199
"18",0,8,0,6,2.23348860713164,12.6029934580823
"19",0.05,8,5.12710963760241,17,10.2264910035528,25.8175410632159
"20",0.1,8,10.5170918075648,72,62.1332995282733,80.5206372508819
"21",-0.1,9,-9.51625819640405,79,69.7084620649459,86.5056304294671
"22",-0.05,9,-4.8770575499286,40,30.3294768702878,50.2790849577665
"23",0,9,0,4,1.10044939861882,9.92571567126599
"24",0.05,9,5.12710963760241,23,15.1731611301048,32.4858732775103
"25",0.1,9,10.5170918075648,94,87.3970065419177,97.7665113928684
"26",-0.1,10,-9.51625819640405,86,77.6272018629432,92.1294595073034
"27",-0.05,10,-4.8770575499286,41,31.2619976567571,51.2855796233229
"28",0,10,0,9,4.19835956283923,16.3982255029635
"29",0.05,10,5.12710963760241,46,35.9843352979412,56.2588420133529
"30",0.1,10,10.5170918075648,99,94.5540614607919,99.9746853967023
"31",-0.1,11,-9.51625819640405,96,90.074284328734,98.8995506013812
"32",-0.05,11,-4.8770575499286,57,46.7133738324846,66.8608983368617
"33",0,11,0,4,1.10044939861882,9.92571567126599
"34",0.05,11,5.12710963760241,64,53.7878106672577,73.3591577266765
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,99,94.5540614607919,99.9746853967023
"37",-0.05,12,-4.8770575499286,72,62.1332995282733,80.5206372508819
"38",0,12,0,8,3.51715625181628,15.1557635864421
"39",0.05,12,5.12710963760241,58,47.7119195723914,67.8014460645203
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,98,92.961606752893,99.7568663176057
"42",-0.05,13,-4.8770575499286,72,62.1332995282733,80.5206372508819
"43",0,13,0,4,1.10044939861882,9.92571567126599
"44",0.05,13,5.12710963760241,73,63.1983727091025,81.3933577709259
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,79,69.7084620649459,86.5056304294671
"48",0,14,0,4,1.10044939861882,9.92571567126599
"49",0.05,14,5.12710963760241,95,88.7165088894537,98.3568120817948
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,88,79.9764316380031,93.6431097438841
"53",0,15,0,9,4.19835956283923,16.3982255029635
"54",0.05,15,5.12710963760241,94,87.3970065419177,97.7665113928684
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,97,91.482394702572,99.3770028461694
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,98,92.961606752893,99.7568663176057
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,97,91.482394702572,99.3770028461694
"63",0,17,0,4,1.10044939861882,9.92571567126599
"64",0.05,17,5.12710963760241,100,96.3783307354824,100
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,100,96.3783307354824,100
"68",0,18,0,6,2.23348860713164,12.6029934580823
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,98,92.961606752893,99.7568663176057
"73",0,19,0,6,2.23348860713164,12.6029934580823
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,100,96.3783307354824,100
"78",0,20,0,3,0.62299715383064,8.517605297428
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
