"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,12,6.35689025611593,20.0235683619969
"2",-0.05,5,-4.8770575499286,4,1.10044939861882,9.92571567126599
"3",0,5,0,2,0.243133682394259,7.03839324710701
"4",0.05,5,5.12710963760241,7,2.86052889074387,13.8919728455857
"5",0.1,5,10.5170918075648,7,2.86052889074387,13.8919728455857
"6",-0.1,6,-9.51625819640405,14,7.87054049269658,22.3727981370568
"7",-0.05,6,-4.8770575499286,3,0.62299715383064,8.517605297428
"8",0,6,0,4,1.10044939861882,9.92571567126599
"9",0.05,6,5.12710963760241,5,1.64318791820521,11.2834911105463
"10",0.1,6,10.5170918075648,10,4.90046892214859,17.6222597740023
"11",-0.1,7,-9.51625819640405,16,9.43102899739462,24.6787597410862
"12",-0.05,7,-4.8770575499286,3,0.62299715383064,8.517605297428
"13",0,7,0,6,2.23348860713164,12.6029934580823
"14",0.05,7,5.12710963760241,5,1.64318791820521,11.2834911105463
"15",0.1,7,10.5170918075648,18,11.0311229153261,26.9477085966812
"16",-0.1,8,-9.51625819640405,17,10.2264910035528,25.8175410632159
"17",-0.05,8,-4.8770575499286,8,3.51715625181628,15.1557635864421
"18",0,8,0,8,3.51715625181628,15.1557635864421
"19",0.05,8,5.12710963760241,12,6.35689025611593,20.0235683619969
"20",0.1,8,10.5170918075648,26,17.7394437867653,35.7312063100104
"21",-0.1,9,-9.51625819640405,12,6.35689025611593,20.0235683619969
"22",-0.05,9,-4.8770575499286,12,6.35689025611593,20.0235683619969
"23",0,9,0,8,3.51715625181628,15.1557635864421
"24",0.05,9,5.12710963760241,12,6.35689025611593,20.0235683619969
"25",0.1,9,10.5170918075648,37,27.5566579614551,47.2351640551683
"26",-0.1,10,-9.51625819640405,17,10.2264910035528,25.8175410632159
"27",-0.05,10,-4.8770575499286,17,10.2264910035528,25.8175410632159
"28",0,10,0,12,6.35689025611593,20.0235683619969
"29",0.05,10,5.12710963760241,21,13.4943695705329,30.2915379350541
"30",0.1,10,10.5170918075648,53,42.7581484890045,63.0594835805606
"31",-0.1,11,-9.51625819640405,29,20.3574189250732,38.9265958907448
"32",-0.05,11,-4.8770575499286,21,13.4943695705329,30.2915379350541
"33",0,11,0,13,7.10730461854295,21.204067708745
"34",0.05,11,5.12710963760241,27,18.6066422290741,36.8016272908975
"35",0.1,11,10.5170918075648,52,41.7789765406307,62.0994519822041
"36",-0.1,12,-9.51625819640405,27,18.6066422290741,36.8016272908975
"37",-0.05,12,-4.8770575499286,25,16.8779738099342,34.6552495758808
"38",0,12,0,16,9.43102899739462,24.6787597410862
"39",0.05,12,5.12710963760241,21,13.4943695705329,30.2915379350541
"40",0.1,12,10.5170918075648,63,52.7648359448317,72.4433420385449
"41",-0.1,13,-9.51625819640405,43,33.1391016631383,53.2866261675154
"42",-0.05,13,-4.8770575499286,25,16.8779738099342,34.6552495758808
"43",0,13,0,11,5.62070202854874,18.8301132196443
"44",0.05,13,5.12710963760241,24,16.0224613171447,33.5735489270998
"45",0.1,13,10.5170918075648,83,74.1824589367841,89.7735089964472
"46",-0.1,14,-9.51625819640405,49,38.8644165161638,59.1963670844546
"47",-0.05,14,-4.8770575499286,29,20.3574189250732,38.9265958907448
"48",0,14,0,10,4.90046892214859,17.6222597740023
"49",0.05,14,5.12710963760241,29,20.3574189250732,38.9265958907448
"50",0.1,14,10.5170918075648,87,78.795932291255,92.892695381457
"51",-0.1,15,-9.51625819640405,50,39.8321129503301,60.1678870496699
"52",-0.05,15,-4.8770575499286,20,12.6655552101956,29.1842689088628
"53",0,15,0,5,1.64318791820521,11.2834911105463
"54",0.05,15,5.12710963760241,26,17.7394437867653,35.7312063100104
"55",0.1,15,10.5170918075648,98,92.961606752893,99.7568663176057
"56",-0.1,16,-9.51625819640405,62,51.7460694249193,71.5232523858521
"57",-0.05,16,-4.8770575499286,39,29.4010414853417,49.2685520367636
"58",0,16,0,6,2.23348860713164,12.6029934580823
"59",0.05,16,5.12710963760241,40,30.3294768702878,50.2790849577665
"60",0.1,16,10.5170918075648,96,90.074284328734,98.8995506013812
"61",-0.1,17,-9.51625819640405,62,51.7460694249193,71.5232523858521
"62",-0.05,17,-4.8770575499286,29,20.3574189250732,38.9265958907448
"63",0,17,0,4,1.10044939861882,9.92571567126599
"64",0.05,17,5.12710963760241,43,33.1391016631383,53.2866261675154
"65",0.1,17,10.5170918075648,99,94.5540614607919,99.9746853967023
"66",-0.1,18,-9.51625819640405,65,54.815063817603,74.2706221468549
"67",-0.05,18,-4.8770575499286,36,26.6408422733235,46.2121893327423
"68",0,18,0,7,2.86052889074387,13.8919728455857
"69",0.05,18,5.12710963760241,61,50.7314479632364,70.5989585146583
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,68,57.9233138368377,76.9780083238423
"72",-0.05,19,-4.8770575499286,39,29.4010414853417,49.2685520367636
"73",0,19,0,5,1.64318791820521,11.2834911105463
"74",0.05,19,5.12710963760241,64,53.7878106672577,73.3591577266765
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,78,68.6080346213682,85.6696423250185
"77",-0.05,20,-4.8770575499286,45,35.0320229239672,55.2719811226064
"78",0,20,0,10,4.90046892214859,17.6222597740023
"79",0.05,20,5.12710963760241,66,55.8466732249041,75.1776498455156
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
