"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,34,24.8223501544844,44.1533267750959
"2",-0.05,5,-4.8770575499286,18,11.0311229153261,26.9477085966812
"3",0,5,0,5,1.64318791820521,11.2834911105463
"4",0.05,5,5.12710963760241,9,4.19835956283923,16.3982255029635
"5",0.1,5,10.5170918075648,29,20.3574189250732,38.9265958907448
"6",-0.1,6,-9.51625819640405,53,42.7581484890045,63.0594835805606
"7",-0.05,6,-4.8770575499286,25,16.8779738099342,34.6552495758808
"8",0,6,0,12,6.35689025611593,20.0235683619969
"9",0.05,6,5.12710963760241,18,11.0311229153261,26.9477085966812
"10",0.1,6,10.5170918075648,58,47.7119195723914,67.8014460645203
"11",-0.1,7,-9.51625819640405,62,51.7460694249193,71.5232523858521
"12",-0.05,7,-4.8770575499286,35,25.7293778531451,45.184936182397
"13",0,7,0,4,1.10044939861882,9.92571567126599
"14",0.05,7,5.12710963760241,16,9.43102899739462,24.6787597410862
"15",0.1,7,10.5170918075648,85,76.4692499851045,91.3545614358352
"16",-0.1,8,-9.51625819640405,78,68.6080346213682,85.6696423250185
"17",-0.05,8,-4.8770575499286,43,33.1391016631383,53.2866261675154
"18",0,8,0,9,4.19835956283923,16.3982255029635
"19",0.05,8,5.12710963760241,15,8.64543856416485,23.5307500148955
"20",0.1,8,10.5170918075648,90,82.3777402259977,95.0995310778514
"21",-0.1,9,-9.51625819640405,86,77.6272018629432,92.1294595073034
"22",-0.05,9,-4.8770575499286,48,37.9005480177959,58.2210234593693
"23",0,9,0,10,4.90046892214859,17.6222597740023
"24",0.05,9,5.12710963760241,50,39.8321129503301,60.1678870496699
"25",0.1,9,10.5170918075648,99,94.5540614607919,99.9746853967023
"26",-0.1,10,-9.51625819640405,93,86.1080271544143,97.1394711092561
"27",-0.05,10,-4.8770575499286,48,37.9005480177959,58.2210234593693
"28",0,10,0,4,1.10044939861882,9.92571567126599
"29",0.05,10,5.12710963760241,72,62.1332995282733,80.5206372508819
"30",0.1,10,10.5170918075648,100,96.3783307354824,100
"31",-0.1,11,-9.51625819640405,95,88.7165088894537,98.3568120817948
"32",-0.05,11,-4.8770575499286,59,48.7144203766771,68.7380023432429
"33",0,11,0,2,0.243133682394259,7.03839324710701
"34",0.05,11,5.12710963760241,76,66.4264510729002,83.9775386828553
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,98,92.961606752893,99.7568663176057
"37",-0.05,12,-4.8770575499286,82,73.0522914033188,88.9688770846739
"38",0,12,0,14,7.87054049269658,22.3727981370568
"39",0.05,12,5.12710963760241,80,70.8157310911372,87.3344447898044
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,99,94.5540614607919,99.9746853967023
"42",-0.05,13,-4.8770575499286,87,78.795932291255,92.892695381457
"43",0,13,0,5,1.64318791820521,11.2834911105463
"44",0.05,13,5.12710963760241,93,86.1080271544143,97.1394711092561
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,85,76.4692499851045,91.3545614358352
"48",0,14,0,4,1.10044939861882,9.92571567126599
"49",0.05,14,5.12710963760241,99,94.5540614607919,99.9746853967023
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,91,83.6017744970365,95.8016404371608
"53",0,15,0,5,1.64318791820521,11.2834911105463
"54",0.05,15,5.12710963760241,99,94.5540614607919,99.9746853967023
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,96,90.074284328734,98.8995506013812
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,100,96.3783307354824,100
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,97,91.482394702572,99.3770028461694
"63",0,17,0,4,1.10044939861882,9.92571567126599
"64",0.05,17,5.12710963760241,100,96.3783307354824,100
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,100,96.3783307354824,100
"68",0,18,0,4,1.10044939861882,9.92571567126599
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,99,94.5540614607919,99.9746853967023
"73",0,19,0,4,1.10044939861882,9.92571567126599
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,100,96.3783307354824,100
"78",0,20,0,8,3.51715625181628,15.1557635864421
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
