"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"2",-0.05,5,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"3",0,5,0,0,0,3.62166926451765
"4",0.05,5,5.12710963760241,1,0.0253146032977436,5.44593853920806
"5",0.1,5,10.5170918075648,1,0.0253146032977436,5.44593853920806
"6",-0.1,6,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"7",-0.05,6,-4.8770575499286,0,0,3.62166926451765
"8",0,6,0,1,0.0253146032977436,5.44593853920806
"9",0.05,6,5.12710963760241,0,0,3.62166926451765
"10",0.1,6,10.5170918075648,4,1.10044939861882,9.92571567126599
"11",-0.1,7,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"12",-0.05,7,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"13",0,7,0,4,1.10044939861882,9.92571567126599
"14",0.05,7,5.12710963760241,1,0.0253146032977436,5.44593853920806
"15",0.1,7,10.5170918075648,4,1.10044939861882,9.92571567126599
"16",-0.1,8,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"17",-0.05,8,-4.8770575499286,2,0.243133682394259,7.03839324710701
"18",0,8,0,2,0.243133682394259,7.03839324710701
"19",0.05,8,5.12710963760241,1,0.0253146032977436,5.44593853920806
"20",0.1,8,10.5170918075648,9,4.19835956283923,16.3982255029635
"21",-0.1,9,-9.51625819640405,3,0.62299715383064,8.517605297428
"22",-0.05,9,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"23",0,9,0,2,0.243133682394259,7.03839324710701
"24",0.05,9,5.12710963760241,1,0.0253146032977436,5.44593853920806
"25",0.1,9,10.5170918075648,8,3.51715625181628,15.1557635864421
"26",-0.1,10,-9.51625819640405,2,0.243133682394259,7.03839324710701
"27",-0.05,10,-4.8770575499286,0,0,3.62166926451765
"28",0,10,0,2,0.243133682394259,7.03839324710701
"29",0.05,10,5.12710963760241,5,1.64318791820521,11.2834911105463
"30",0.1,10,10.5170918075648,11,5.62070202854874,18.8301132196443
"31",-0.1,11,-9.51625819640405,4,1.10044939861882,9.92571567126599
"32",-0.05,11,-4.8770575499286,5,1.64318791820521,11.2834911105463
"33",0,11,0,3,0.62299715383064,8.517605297428
"34",0.05,11,5.12710963760241,3,0.62299715383064,8.517605297428
"35",0.1,11,10.5170918075648,26,17.7394437867653,35.7312063100104
"36",-0.1,12,-9.51625819640405,5,1.64318791820521,11.2834911105463
"37",-0.05,12,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"38",0,12,0,2,0.243133682394259,7.03839324710701
"39",0.05,12,5.12710963760241,6,2.23348860713164,12.6029934580823
"40",0.1,12,10.5170918075648,19,11.8443196132544,28.0697957973613
"41",-0.1,13,-9.51625819640405,7,2.86052889074387,13.8919728455857
"42",-0.05,13,-4.8770575499286,4,1.10044939861882,9.92571567126599
"43",0,13,0,2,0.243133682394259,7.03839324710701
"44",0.05,13,5.12710963760241,11,5.62070202854874,18.8301132196443
"45",0.1,13,10.5170918075648,47,36.9405164194394,57.2418515109955
"46",-0.1,14,-9.51625819640405,5,1.64318791820521,11.2834911105463
"47",-0.05,14,-4.8770575499286,2,0.243133682394259,7.03839324710701
"48",0,14,0,6,2.23348860713164,12.6029934580823
"49",0.05,14,5.12710963760241,16,9.43102899739462,24.6787597410862
"50",0.1,14,10.5170918075648,52,41.7789765406307,62.0994519822041
"51",-0.1,15,-9.51625819640405,9,4.19835956283923,16.3982255029635
"52",-0.05,15,-4.8770575499286,2,0.243133682394259,7.03839324710701
"53",0,15,0,5,1.64318791820521,11.2834911105463
"54",0.05,15,5.12710963760241,14,7.87054049269658,22.3727981370568
"55",0.1,15,10.5170918075648,65,54.815063817603,74.2706221468549
"56",-0.1,16,-9.51625819640405,6,2.23348860713164,12.6029934580823
"57",-0.05,16,-4.8770575499286,7,2.86052889074387,13.8919728455857
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,18,11.0311229153261,26.9477085966812
"60",0.1,16,10.5170918075648,63,52.7648359448317,72.4433420385449
"61",-0.1,17,-9.51625819640405,7,2.86052889074387,13.8919728455857
"62",-0.05,17,-4.8770575499286,7,2.86052889074387,13.8919728455857
"63",0,17,0,5,1.64318791820521,11.2834911105463
"64",0.05,17,5.12710963760241,30,21.2406420489537,39.9814676179804
"65",0.1,17,10.5170918075648,72,62.1332995282733,80.5206372508819
"66",-0.1,18,-9.51625819640405,10,4.90046892214859,17.6222597740023
"67",-0.05,18,-4.8770575499286,7,2.86052889074387,13.8919728455857
"68",0,18,0,7,2.86052889074387,13.8919728455857
"69",0.05,18,5.12710963760241,37,27.5566579614551,47.2351640551683
"70",0.1,18,10.5170918075648,81,71.9302042026387,88.1556803867456
"71",-0.1,19,-9.51625819640405,14,7.87054049269658,22.3727981370568
"72",-0.05,19,-4.8770575499286,10,4.90046892214859,17.6222597740023
"73",0,19,0,6,2.23348860713164,12.6029934580823
"74",0.05,19,5.12710963760241,33,23.9198534622602,43.1172750777563
"75",0.1,19,10.5170918075648,89,81.1698867803557,94.3792979714513
"76",-0.1,20,-9.51625819640405,13,7.10730461854295,21.204067708745
"77",-0.05,20,-4.8770575499286,10,4.90046892214859,17.6222597740023
"78",0,20,0,14,7.87054049269658,22.3727981370568
"79",0.05,20,5.12710963760241,38,28.4767476141479,48.2539305750807
"80",0.1,20,10.5170918075648,92,84.8442364135579,96.4828437481837
