"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,0,0,3.62166926451765
"2",-0.05,5,-4.8770575499286,0,0,3.62166926451765
"3",0,5,0,0,0,3.62166926451765
"4",0.05,5,5.12710963760241,0,0,3.62166926451765
"5",0.1,5,10.5170918075648,0,0,3.62166926451765
"6",-0.1,6,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"7",-0.05,6,-4.8770575499286,0,0,3.62166926451765
"8",0,6,0,1,0.0253146032977436,5.44593853920806
"9",0.05,6,5.12710963760241,1,0.0253146032977436,5.44593853920806
"10",0.1,6,10.5170918075648,0,0,3.62166926451765
"11",-0.1,7,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"12",-0.05,7,-4.8770575499286,0,0,3.62166926451765
"13",0,7,0,1,0.0253146032977436,5.44593853920806
"14",0.05,7,5.12710963760241,2,0.243133682394259,7.03839324710701
"15",0.1,7,10.5170918075648,3,0.62299715383064,8.517605297428
"16",-0.1,8,-9.51625819640405,0,0,3.62166926451765
"17",-0.05,8,-4.8770575499286,0,0,3.62166926451765
"18",0,8,0,0,0,3.62166926451765
"19",0.05,8,5.12710963760241,1,0.0253146032977436,5.44593853920806
"20",0.1,8,10.5170918075648,2,0.243133682394259,7.03839324710701
"21",-0.1,9,-9.51625819640405,0,0,3.62166926451765
"22",-0.05,9,-4.8770575499286,0,0,3.62166926451765
"23",0,9,0,0,0,3.62166926451765
"24",0.05,9,5.12710963760241,1,0.0253146032977436,5.44593853920806
"25",0.1,9,10.5170918075648,4,1.10044939861882,9.92571567126599
"26",-0.1,10,-9.51625819640405,0,0,3.62166926451765
"27",-0.05,10,-4.8770575499286,0,0,3.62166926451765
"28",0,10,0,1,0.0253146032977436,5.44593853920806
"29",0.05,10,5.12710963760241,0,0,3.62166926451765
"30",0.1,10,10.5170918075648,1,0.0253146032977436,5.44593853920806
"31",-0.1,11,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"32",-0.05,11,-4.8770575499286,0,0,3.62166926451765
"33",0,11,0,0,0,3.62166926451765
"34",0.05,11,5.12710963760241,4,1.10044939861882,9.92571567126599
"35",0.1,11,10.5170918075648,2,0.243133682394259,7.03839324710701
"36",-0.1,12,-9.51625819640405,0,0,3.62166926451765
"37",-0.05,12,-4.8770575499286,0,0,3.62166926451765
"38",0,12,0,0,0,3.62166926451765
"39",0.05,12,5.12710963760241,1,0.0253146032977436,5.44593853920806
"40",0.1,12,10.5170918075648,3,0.62299715383064,8.517605297428
"41",-0.1,13,-9.51625819640405,0,0,3.62166926451765
"42",-0.05,13,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"43",0,13,0,1,0.0253146032977436,5.44593853920806
"44",0.05,13,5.12710963760241,2,0.243133682394259,7.03839324710701
"45",0.1,13,10.5170918075648,2,0.243133682394259,7.03839324710701
"46",-0.1,14,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"47",-0.05,14,-4.8770575499286,0,0,3.62166926451765
"48",0,14,0,1,0.0253146032977436,5.44593853920806
"49",0.05,14,5.12710963760241,2,0.243133682394259,7.03839324710701
"50",0.1,14,10.5170918075648,5,1.64318791820521,11.2834911105463
"51",-0.1,15,-9.51625819640405,0,0,3.62166926451765
"52",-0.05,15,-4.8770575499286,2,0.243133682394259,7.03839324710701
"53",0,15,0,1,0.0253146032977436,5.44593853920806
"54",0.05,15,5.12710963760241,2,0.243133682394259,7.03839324710701
"55",0.1,15,10.5170918075648,3,0.62299715383064,8.517605297428
"56",-0.1,16,-9.51625819640405,0,0,3.62166926451765
"57",-0.05,16,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"58",0,16,0,1,0.0253146032977436,5.44593853920806
"59",0.05,16,5.12710963760241,2,0.243133682394259,7.03839324710701
"60",0.1,16,10.5170918075648,5,1.64318791820521,11.2834911105463
"61",-0.1,17,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"62",-0.05,17,-4.8770575499286,2,0.243133682394259,7.03839324710701
"63",0,17,0,0,0,3.62166926451765
"64",0.05,17,5.12710963760241,0,0,3.62166926451765
"65",0.1,17,10.5170918075648,6,2.23348860713164,12.6029934580823
"66",-0.1,18,-9.51625819640405,1,0.0253146032977436,5.44593853920806
"67",-0.05,18,-4.8770575499286,2,0.243133682394259,7.03839324710701
"68",0,18,0,3,0.62299715383064,8.517605297428
"69",0.05,18,5.12710963760241,1,0.0253146032977436,5.44593853920806
"70",0.1,18,10.5170918075648,11,5.62070202854874,18.8301132196443
"71",-0.1,19,-9.51625819640405,2,0.243133682394259,7.03839324710701
"72",-0.05,19,-4.8770575499286,1,0.0253146032977436,5.44593853920806
"73",0,19,0,3,0.62299715383064,8.517605297428
"74",0.05,19,5.12710963760241,2,0.243133682394259,7.03839324710701
"75",0.1,19,10.5170918075648,8,3.51715625181628,15.1557635864421
"76",-0.1,20,-9.51625819640405,0,0,3.62166926451765
"77",-0.05,20,-4.8770575499286,0,0,3.62166926451765
"78",0,20,0,0,0,3.62166926451765
"79",0.05,20,5.12710963760241,1,0.0253146032977436,5.44593853920806
"80",0.1,20,10.5170918075648,12,6.35689025611593,20.0235683619969
