"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,47,36.9405164194394,57.2418515109955
"2",-0.05,5,-4.8770575499286,20,12.6655552101956,29.1842689088628
"3",0,5,0,16,9.43102899739462,24.6787597410862
"4",0.05,5,5.12710963760241,10,4.90046892214859,17.6222597740023
"5",0.1,5,10.5170918075648,41,31.2619976567571,51.2855796233229
"6",-0.1,6,-9.51625819640405,56,45.7187497063317,65.9163976276542
"7",-0.05,6,-4.8770575499286,20,12.6655552101956,29.1842689088628
"8",0,6,0,13,7.10730461854295,21.204067708745
"9",0.05,6,5.12710963760241,12,6.35689025611593,20.0235683619969
"10",0.1,6,10.5170918075648,57,46.7133738324846,66.8608983368617
"11",-0.1,7,-9.51625819640405,59,48.7144203766771,68.7380023432429
"12",-0.05,7,-4.8770575499286,32,23.0219916761577,42.0766861631623
"13",0,7,0,5,1.64318791820521,11.2834911105463
"14",0.05,7,5.12710963760241,26,17.7394437867653,35.7312063100104
"15",0.1,7,10.5170918075648,63,52.7648359448317,72.4433420385449
"16",-0.1,8,-9.51625819640405,94,87.3970065419177,97.7665113928684
"17",-0.05,8,-4.8770575499286,49,38.8644165161638,59.1963670844546
"18",0,8,0,10,4.90046892214859,17.6222597740023
"19",0.05,8,5.12710963760241,16,9.43102899739462,24.6787597410862
"20",0.1,8,10.5170918075648,78,68.6080346213682,85.6696423250185
"21",-0.1,9,-9.51625819640405,98,92.961606752893,99.7568663176057
"22",-0.05,9,-4.8770575499286,51,40.8036329155454,61.1355834838362
"23",0,9,0,4,1.10044939861882,9.92571567126599
"24",0.05,9,5.12710963760241,35,25.7293778531451,45.184936182397
"25",0.1,9,10.5170918075648,99,94.5540614607919,99.9746853967023
"26",-0.1,10,-9.51625819640405,95,88.7165088894537,98.3568120817948
"27",-0.05,10,-4.8770575499286,58,47.7119195723914,67.8014460645203
"28",0,10,0,4,1.10044939861882,9.92571567126599
"29",0.05,10,5.12710963760241,56,45.7187497063317,65.9163976276542
"30",0.1,10,10.5170918075648,100,96.3783307354824,100
"31",-0.1,11,-9.51625819640405,99,94.5540614607919,99.9746853967023
"32",-0.05,11,-4.8770575499286,67,56.8827249222437,76.0801465377398
"33",0,11,0,3,0.62299715383064,8.517605297428
"34",0.05,11,5.12710963760241,63,52.7648359448317,72.4433420385449
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,100,96.3783307354824,100
"37",-0.05,12,-4.8770575499286,86,77.6272018629432,92.1294595073034
"38",0,12,0,9,4.19835956283923,16.3982255029635
"39",0.05,12,5.12710963760241,64,53.7878106672577,73.3591577266765
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,100,96.3783307354824,100
"42",-0.05,13,-4.8770575499286,89,81.1698867803557,94.3792979714513
"43",0,13,0,9,4.19835956283923,16.3982255029635
"44",0.05,13,5.12710963760241,89,81.1698867803557,94.3792979714513
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,90,82.3777402259977,95.0995310778514
"48",0,14,0,6,2.23348860713164,12.6029934580823
"49",0.05,14,5.12710963760241,96,90.074284328734,98.8995506013812
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,93,86.1080271544143,97.1394711092561
"53",0,15,0,2,0.243133682394259,7.03839324710701
"54",0.05,15,5.12710963760241,98,92.961606752893,99.7568663176057
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,98,92.961606752893,99.7568663176057
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,99,94.5540614607919,99.9746853967023
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,98,92.961606752893,99.7568663176057
"63",0,17,0,6,2.23348860713164,12.6029934580823
"64",0.05,17,5.12710963760241,100,96.3783307354824,100
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,100,96.3783307354824,100
"68",0,18,0,5,1.64318791820521,11.2834911105463
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,100,96.3783307354824,100
"73",0,19,0,5,1.64318791820521,11.2834911105463
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,100,96.3783307354824,100
"78",0,20,0,11,5.62070202854874,18.8301132196443
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
