"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,5,1.64318791820521,11.2834911105463
"2",-0.05,5,-4.8770575499286,12,6.35689025611593,20.0235683619969
"3",0,5,0,7,2.86052889074387,13.8919728455857
"4",0.05,5,5.12710963760241,17,10.2264910035528,25.8175410632159
"5",0.1,5,10.5170918075648,18,11.0311229153261,26.9477085966812
"6",-0.1,6,-9.51625819640405,15,8.64543856416485,23.5307500148955
"7",-0.05,6,-4.8770575499286,18,11.0311229153261,26.9477085966812
"8",0,6,0,9,4.19835956283923,16.3982255029635
"9",0.05,6,5.12710963760241,9,4.19835956283923,16.3982255029635
"10",0.1,6,10.5170918075648,23,15.1731611301048,32.4858732775103
"11",-0.1,7,-9.51625819640405,12,6.35689025611593,20.0235683619969
"12",-0.05,7,-4.8770575499286,11,5.62070202854874,18.8301132196443
"13",0,7,0,11,5.62070202854874,18.8301132196443
"14",0.05,7,5.12710963760241,16,9.43102899739462,24.6787597410862
"15",0.1,7,10.5170918075648,18,11.0311229153261,26.9477085966812
"16",-0.1,8,-9.51625819640405,12,6.35689025611593,20.0235683619969
"17",-0.05,8,-4.8770575499286,14,7.87054049269658,22.3727981370568
"18",0,8,0,10,4.90046892214859,17.6222597740023
"19",0.05,8,5.12710963760241,15,8.64543856416485,23.5307500148955
"20",0.1,8,10.5170918075648,16,9.43102899739462,24.6787597410862
"21",-0.1,9,-9.51625819640405,10,4.90046892214859,17.6222597740023
"22",-0.05,9,-4.8770575499286,8,3.51715625181628,15.1557635864421
"23",0,9,0,7,2.86052889074387,13.8919728455857
"24",0.05,9,5.12710963760241,11,5.62070202854874,18.8301132196443
"25",0.1,9,10.5170918075648,30,21.2406420489537,39.9814676179804
"26",-0.1,10,-9.51625819640405,7,2.86052889074387,13.8919728455857
"27",-0.05,10,-4.8770575499286,10,4.90046892214859,17.6222597740023
"28",0,10,0,12,6.35689025611593,20.0235683619969
"29",0.05,10,5.12710963760241,15,8.64543856416485,23.5307500148955
"30",0.1,10,10.5170918075648,27,18.6066422290741,36.8016272908975
"31",-0.1,11,-9.51625819640405,12,6.35689025611593,20.0235683619969
"32",-0.05,11,-4.8770575499286,8,3.51715625181628,15.1557635864421
"33",0,11,0,14,7.87054049269658,22.3727981370568
"34",0.05,11,5.12710963760241,9,4.19835956283923,16.3982255029635
"35",0.1,11,10.5170918075648,24,16.0224613171447,33.5735489270998
"36",-0.1,12,-9.51625819640405,14,7.87054049269658,22.3727981370568
"37",-0.05,12,-4.8770575499286,7,2.86052889074387,13.8919728455857
"38",0,12,0,9,4.19835956283923,16.3982255029635
"39",0.05,12,5.12710963760241,17,10.2264910035528,25.8175410632159
"40",0.1,12,10.5170918075648,39,29.4010414853417,49.2685520367636
"41",-0.1,13,-9.51625819640405,23,15.1731611301048,32.4858732775103
"42",-0.05,13,-4.8770575499286,16,9.43102899739462,24.6787597410862
"43",0,13,0,6,2.23348860713164,12.6029934580823
"44",0.05,13,5.12710963760241,29,20.3574189250732,38.9265958907448
"45",0.1,13,10.5170918075648,52,41.7789765406307,62.0994519822041
"46",-0.1,14,-9.51625819640405,20,12.6655552101956,29.1842689088628
"47",-0.05,14,-4.8770575499286,11,5.62070202854874,18.8301132196443
"48",0,14,0,12,6.35689025611593,20.0235683619969
"49",0.05,14,5.12710963760241,32,23.0219916761577,42.0766861631623
"50",0.1,14,10.5170918075648,50,39.8321129503301,60.1678870496699
"51",-0.1,15,-9.51625819640405,29,20.3574189250732,38.9265958907448
"52",-0.05,15,-4.8770575499286,15,8.64543856416485,23.5307500148955
"53",0,15,0,18,11.0311229153261,26.9477085966812
"54",0.05,15,5.12710963760241,23,15.1731611301048,32.4858732775103
"55",0.1,15,10.5170918075648,51,40.8036329155454,61.1355834838362
"56",-0.1,16,-9.51625819640405,17,10.2264910035528,25.8175410632159
"57",-0.05,16,-4.8770575499286,21,13.4943695705329,30.2915379350541
"58",0,16,0,18,11.0311229153261,26.9477085966812
"59",0.05,16,5.12710963760241,27,18.6066422290741,36.8016272908975
"60",0.1,16,10.5170918075648,41,31.2619976567571,51.2855796233229
"61",-0.1,17,-9.51625819640405,47,36.9405164194394,57.2418515109955
"62",-0.05,17,-4.8770575499286,35,25.7293778531451,45.184936182397
"63",0,17,0,40,30.3294768702878,50.2790849577665
"64",0.05,17,5.12710963760241,57,46.7133738324846,66.8608983368617
"65",0.1,17,10.5170918075648,73,63.1983727091025,81.3933577709259
"66",-0.1,18,-9.51625819640405,42,32.1985539354797,52.2880804276086
"67",-0.05,18,-4.8770575499286,31,22.1288792130671,41.0314554160199
"68",0,18,0,47,36.9405164194394,57.2418515109955
"69",0.05,18,5.12710963760241,52,41.7789765406307,62.0994519822041
"70",0.1,18,10.5170918075648,77,67.5141267224897,84.8268388698953
"71",-0.1,19,-9.51625819640405,56,45.7187497063317,65.9163976276542
"72",-0.05,19,-4.8770575499286,41,31.2619976567571,51.2855796233229
"73",0,19,0,38,28.4767476141479,48.2539305750807
"74",0.05,19,5.12710963760241,57,46.7133738324846,66.8608983368617
"75",0.1,19,10.5170918075648,72,62.1332995282733,80.5206372508819
"76",-0.1,20,-9.51625819640405,50,39.8321129503301,60.1678870496699
"77",-0.05,20,-4.8770575499286,38,28.4767476141479,48.2539305750807
"78",0,20,0,33,23.9198534622602,43.1172750777563
"79",0.05,20,5.12710963760241,50,39.8321129503301,60.1678870496699
"80",0.1,20,10.5170918075648,81,71.9302042026387,88.1556803867456
