"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,28,19.4793627491181,37.8667004717267
"2",-0.05,5,-4.8770575499286,21,13.4943695705329,30.2915379350541
"3",0,5,0,24,16.0224613171447,33.5735489270998
"4",0.05,5,5.12710963760241,18,11.0311229153261,26.9477085966812
"5",0.1,5,10.5170918075648,37,27.5566579614551,47.2351640551683
"6",-0.1,6,-9.51625819640405,45,35.0320229239672,55.2719811226064
"7",-0.05,6,-4.8770575499286,27,18.6066422290741,36.8016272908975
"8",0,6,0,21,13.4943695705329,30.2915379350541
"9",0.05,6,5.12710963760241,20,12.6655552101956,29.1842689088628
"10",0.1,6,10.5170918075648,35,25.7293778531451,45.184936182397
"11",-0.1,7,-9.51625819640405,57,46.7133738324846,66.8608983368617
"12",-0.05,7,-4.8770575499286,24,16.0224613171447,33.5735489270998
"13",0,7,0,22,14.3303576749815,31.3919653786318
"14",0.05,7,5.12710963760241,14,7.87054049269658,22.3727981370568
"15",0.1,7,10.5170918075648,50,39.8321129503301,60.1678870496699
"16",-0.1,8,-9.51625819640405,70,60.0185323820196,78.7593579510463
"17",-0.05,8,-4.8770575499286,40,30.3294768702878,50.2790849577665
"18",0,8,0,12,6.35689025611593,20.0235683619969
"19",0.05,8,5.12710963760241,18,11.0311229153261,26.9477085966812
"20",0.1,8,10.5170918075648,51,40.8036329155454,61.1355834838362
"21",-0.1,9,-9.51625819640405,80,70.8157310911372,87.3344447898044
"22",-0.05,9,-4.8770575499286,30,21.2406420489537,39.9814676179804
"23",0,9,0,7,2.86052889074387,13.8919728455857
"24",0.05,9,5.12710963760241,17,10.2264910035528,25.8175410632159
"25",0.1,9,10.5170918075648,75,65.3447504241192,83.1220261900658
"26",-0.1,10,-9.51625819640405,80,70.8157310911372,87.3344447898044
"27",-0.05,10,-4.8770575499286,34,24.8223501544844,44.1533267750959
"28",0,10,0,5,1.64318791820521,11.2834911105463
"29",0.05,10,5.12710963760241,37,27.5566579614551,47.2351640551683
"30",0.1,10,10.5170918075648,86,77.6272018629432,92.1294595073034
"31",-0.1,11,-9.51625819640405,93,86.1080271544143,97.1394711092561
"32",-0.05,11,-4.8770575499286,44,34.0836023723458,54.2812502936683
"33",0,11,0,2,0.243133682394259,7.03839324710701
"34",0.05,11,5.12710963760241,50,39.8321129503301,60.1678870496699
"35",0.1,11,10.5170918075648,92,84.8442364135579,96.4828437481837
"36",-0.1,12,-9.51625819640405,97,91.482394702572,99.3770028461694
"37",-0.05,12,-4.8770575499286,67,56.8827249222437,76.0801465377398
"38",0,12,0,9,4.19835956283923,16.3982255029635
"39",0.05,12,5.12710963760241,39,29.4010414853417,49.2685520367636
"40",0.1,12,10.5170918075648,98,92.961606752893,99.7568663176057
"41",-0.1,13,-9.51625819640405,98,92.961606752893,99.7568663176057
"42",-0.05,13,-4.8770575499286,68,57.9233138368377,76.9780083238423
"43",0,13,0,3,0.62299715383064,8.517605297428
"44",0.05,13,5.12710963760241,62,51.7460694249193,71.5232523858521
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,67,56.8827249222437,76.0801465377398
"48",0,14,0,8,3.51715625181628,15.1557635864421
"49",0.05,14,5.12710963760241,64,53.7878106672577,73.3591577266765
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,99,94.5540614607919,99.9746853967023
"52",-0.05,15,-4.8770575499286,77,67.5141267224897,84.8268388698953
"53",0,15,0,4,1.10044939861882,9.92571567126599
"54",0.05,15,5.12710963760241,81,71.9302042026387,88.1556803867456
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,90,82.3777402259977,95.0995310778514
"58",0,16,0,6,2.23348860713164,12.6029934580823
"59",0.05,16,5.12710963760241,87,78.795932291255,92.892695381457
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,96,90.074284328734,98.8995506013812
"63",0,17,0,7,2.86052889074387,13.8919728455857
"64",0.05,17,5.12710963760241,95,88.7165088894537,98.3568120817948
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,95,88.7165088894537,98.3568120817948
"68",0,18,0,4,1.10044939861882,9.92571567126599
"69",0.05,18,5.12710963760241,97,91.482394702572,99.3770028461694
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,99,94.5540614607919,99.9746853967023
"73",0,19,0,8,3.51715625181628,15.1557635864421
"74",0.05,19,5.12710963760241,97,91.482394702572,99.3770028461694
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,97,91.482394702572,99.3770028461694
"78",0,20,0,6,2.23348860713164,12.6029934580823
"79",0.05,20,5.12710963760241,99,94.5540614607919,99.9746853967023
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
