"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,34,24.8223501544844,44.1533267750959
"2",-0.05,5,-4.8770575499286,25,16.8779738099342,34.6552495758808
"3",0,5,0,11,5.62070202854874,18.8301132196443
"4",0.05,5,5.12710963760241,18,11.0311229153261,26.9477085966812
"5",0.1,5,10.5170918075648,26,17.7394437867653,35.7312063100104
"6",-0.1,6,-9.51625819640405,39,29.4010414853417,49.2685520367636
"7",-0.05,6,-4.8770575499286,15,8.64543856416485,23.5307500148955
"8",0,6,0,2,0.243133682394259,7.03839324710701
"9",0.05,6,5.12710963760241,12,6.35689025611593,20.0235683619969
"10",0.1,6,10.5170918075648,44,34.0836023723458,54.2812502936683
"11",-0.1,7,-9.51625819640405,53,42.7581484890045,63.0594835805606
"12",-0.05,7,-4.8770575499286,25,16.8779738099342,34.6552495758808
"13",0,7,0,5,1.64318791820521,11.2834911105463
"14",0.05,7,5.12710963760241,19,11.8443196132544,28.0697957973613
"15",0.1,7,10.5170918075648,60,49.7209150422335,69.6705231297123
"16",-0.1,8,-9.51625819640405,74,64.2687936899896,82.2605562132348
"17",-0.05,8,-4.8770575499286,28,19.4793627491181,37.8667004717267
"18",0,8,0,9,4.19835956283923,16.3982255029635
"19",0.05,8,5.12710963760241,14,7.87054049269658,22.3727981370568
"20",0.1,8,10.5170918075648,66,55.8466732249041,75.1776498455156
"21",-0.1,9,-9.51625819640405,82,73.0522914033188,88.9688770846739
"22",-0.05,9,-4.8770575499286,33,23.9198534622602,43.1172750777563
"23",0,9,0,6,2.23348860713164,12.6029934580823
"24",0.05,9,5.12710963760241,30,21.2406420489537,39.9814676179804
"25",0.1,9,10.5170918075648,95,88.7165088894537,98.3568120817948
"26",-0.1,10,-9.51625819640405,82,73.0522914033188,88.9688770846739
"27",-0.05,10,-4.8770575499286,44,34.0836023723458,54.2812502936683
"28",0,10,0,3,0.62299715383064,8.517605297428
"29",0.05,10,5.12710963760241,38,28.4767476141479,48.2539305750807
"30",0.1,10,10.5170918075648,100,96.3783307354824,100
"31",-0.1,11,-9.51625819640405,92,84.8442364135579,96.4828437481837
"32",-0.05,11,-4.8770575499286,58,47.7119195723914,67.8014460645203
"33",0,11,0,6,2.23348860713164,12.6029934580823
"34",0.05,11,5.12710963760241,73,63.1983727091025,81.3933577709259
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,98,92.961606752893,99.7568663176057
"37",-0.05,12,-4.8770575499286,73,63.1983727091025,81.3933577709259
"38",0,12,0,6,2.23348860713164,12.6029934580823
"39",0.05,12,5.12710963760241,63,52.7648359448317,72.4433420385449
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,100,96.3783307354824,100
"42",-0.05,13,-4.8770575499286,78,68.6080346213682,85.6696423250185
"43",0,13,0,6,2.23348860713164,12.6029934580823
"44",0.05,13,5.12710963760241,83,74.1824589367841,89.7735089964472
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,77,67.5141267224897,84.8268388698953
"48",0,14,0,6,2.23348860713164,12.6029934580823
"49",0.05,14,5.12710963760241,94,87.3970065419177,97.7665113928684
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,87,78.795932291255,92.892695381457
"53",0,15,0,5,1.64318791820521,11.2834911105463
"54",0.05,15,5.12710963760241,94,87.3970065419177,97.7665113928684
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,93,86.1080271544143,97.1394711092561
"58",0,16,0,5,1.64318791820521,11.2834911105463
"59",0.05,16,5.12710963760241,100,96.3783307354824,100
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,92,84.8442364135579,96.4828437481837
"63",0,17,0,8,3.51715625181628,15.1557635864421
"64",0.05,17,5.12710963760241,99,94.5540614607919,99.9746853967023
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,96,90.074284328734,98.8995506013812
"68",0,18,0,4,1.10044939861882,9.92571567126599
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,99,94.5540614607919,99.9746853967023
"73",0,19,0,7,2.86052889074387,13.8919728455857
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,99,94.5540614607919,99.9746853967023
"78",0,20,0,6,2.23348860713164,12.6029934580823
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
