"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,6,2.23348860713164,12.6029934580823
"2",-0.05,5,-4.8770575499286,4,1.10044939861882,9.92571567126599
"3",0,5,0,4,1.10044939861882,9.92571567126599
"4",0.05,5,5.12710963760241,10,4.90046892214859,17.6222597740023
"5",0.1,5,10.5170918075648,3,0.62299715383064,8.517605297428
"6",-0.1,6,-9.51625819640405,4,1.10044939861882,9.92571567126599
"7",-0.05,6,-4.8770575499286,6,2.23348860713164,12.6029934580823
"8",0,6,0,3,0.62299715383064,8.517605297428
"9",0.05,6,5.12710963760241,7,2.86052889074387,13.8919728455857
"10",0.1,6,10.5170918075648,13,7.10730461854295,21.204067708745
"11",-0.1,7,-9.51625819640405,11,5.62070202854874,18.8301132196443
"12",-0.05,7,-4.8770575499286,9,4.19835956283923,16.3982255029635
"13",0,7,0,6,2.23348860713164,12.6029934580823
"14",0.05,7,5.12710963760241,7,2.86052889074387,13.8919728455857
"15",0.1,7,10.5170918075648,14,7.87054049269658,22.3727981370568
"16",-0.1,8,-9.51625819640405,11,5.62070202854874,18.8301132196443
"17",-0.05,8,-4.8770575499286,6,2.23348860713164,12.6029934580823
"18",0,8,0,10,4.90046892214859,17.6222597740023
"19",0.05,8,5.12710963760241,11,5.62070202854874,18.8301132196443
"20",0.1,8,10.5170918075648,21,13.4943695705329,30.2915379350541
"21",-0.1,9,-9.51625819640405,24,16.0224613171447,33.5735489270998
"22",-0.05,9,-4.8770575499286,9,4.19835956283923,16.3982255029635
"23",0,9,0,11,5.62070202854874,18.8301132196443
"24",0.05,9,5.12710963760241,13,7.10730461854295,21.204067708745
"25",0.1,9,10.5170918075648,45,35.0320229239672,55.2719811226064
"26",-0.1,10,-9.51625819640405,25,16.8779738099342,34.6552495758808
"27",-0.05,10,-4.8770575499286,9,4.19835956283923,16.3982255029635
"28",0,10,0,12,6.35689025611593,20.0235683619969
"29",0.05,10,5.12710963760241,23,15.1731611301048,32.4858732775103
"30",0.1,10,10.5170918075648,53,42.7581484890045,63.0594835805606
"31",-0.1,11,-9.51625819640405,32,23.0219916761577,42.0766861631623
"32",-0.05,11,-4.8770575499286,9,4.19835956283923,16.3982255029635
"33",0,11,0,15,8.64543856416485,23.5307500148955
"34",0.05,11,5.12710963760241,21,13.4943695705329,30.2915379350541
"35",0.1,11,10.5170918075648,57,46.7133738324846,66.8608983368617
"36",-0.1,12,-9.51625819640405,35,25.7293778531451,45.184936182397
"37",-0.05,12,-4.8770575499286,19,11.8443196132544,28.0697957973613
"38",0,12,0,20,12.6655552101956,29.1842689088628
"39",0.05,12,5.12710963760241,22,14.3303576749815,31.3919653786318
"40",0.1,12,10.5170918075648,62,51.7460694249193,71.5232523858521
"41",-0.1,13,-9.51625819640405,36,26.6408422733235,46.2121893327423
"42",-0.05,13,-4.8770575499286,25,16.8779738099342,34.6552495758808
"43",0,13,0,12,6.35689025611593,20.0235683619969
"44",0.05,13,5.12710963760241,19,11.8443196132544,28.0697957973613
"45",0.1,13,10.5170918075648,77,67.5141267224897,84.8268388698953
"46",-0.1,14,-9.51625819640405,45,35.0320229239672,55.2719811226064
"47",-0.05,14,-4.8770575499286,23,15.1731611301048,32.4858732775103
"48",0,14,0,12,6.35689025611593,20.0235683619969
"49",0.05,14,5.12710963760241,30,21.2406420489537,39.9814676179804
"50",0.1,14,10.5170918075648,86,77.6272018629432,92.1294595073034
"51",-0.1,15,-9.51625819640405,43,33.1391016631383,53.2866261675154
"52",-0.05,15,-4.8770575499286,33,23.9198534622602,43.1172750777563
"53",0,15,0,15,8.64543856416485,23.5307500148955
"54",0.05,15,5.12710963760241,34,24.8223501544844,44.1533267750959
"55",0.1,15,10.5170918075648,94,87.3970065419177,97.7665113928684
"56",-0.1,16,-9.51625819640405,62,51.7460694249193,71.5232523858521
"57",-0.05,16,-4.8770575499286,32,23.0219916761577,42.0766861631623
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,28,19.4793627491181,37.8667004717267
"60",0.1,16,10.5170918075648,99,94.5540614607919,99.9746853967023
"61",-0.1,17,-9.51625819640405,72,62.1332995282733,80.5206372508819
"62",-0.05,17,-4.8770575499286,29,20.3574189250732,38.9265958907448
"63",0,17,0,7,2.86052889074387,13.8919728455857
"64",0.05,17,5.12710963760241,39,29.4010414853417,49.2685520367636
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,61,50.7314479632364,70.5989585146583
"67",-0.05,18,-4.8770575499286,50,39.8321129503301,60.1678870496699
"68",0,18,0,3,0.62299715383064,8.517605297428
"69",0.05,18,5.12710963760241,66,55.8466732249041,75.1776498455156
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,70,60.0185323820196,78.7593579510463
"72",-0.05,19,-4.8770575499286,38,28.4767476141479,48.2539305750807
"73",0,19,0,5,1.64318791820521,11.2834911105463
"74",0.05,19,5.12710963760241,67,56.8827249222437,76.0801465377398
"75",0.1,19,10.5170918075648,99,94.5540614607919,99.9746853967023
"76",-0.1,20,-9.51625819640405,79,69.7084620649459,86.5056304294671
"77",-0.05,20,-4.8770575499286,41,31.2619976567571,51.2855796233229
"78",0,20,0,4,1.10044939861882,9.92571567126599
"79",0.05,20,5.12710963760241,59,48.7144203766771,68.7380023432429
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
