"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,17,10.2264910035528,25.8175410632159
"2",-0.05,5,-4.8770575499286,13,7.10730461854295,21.204067708745
"3",0,5,0,8,3.51715625181628,15.1557635864421
"4",0.05,5,5.12710963760241,8,3.51715625181628,15.1557635864421
"5",0.1,5,10.5170918075648,13,7.10730461854295,21.204067708745
"6",-0.1,6,-9.51625819640405,16,9.43102899739462,24.6787597410862
"7",-0.05,6,-4.8770575499286,5,1.64318791820521,11.2834911105463
"8",0,6,0,4,1.10044939861882,9.92571567126599
"9",0.05,6,5.12710963760241,11,5.62070202854874,18.8301132196443
"10",0.1,6,10.5170918075648,26,17.7394437867653,35.7312063100104
"11",-0.1,7,-9.51625819640405,31,22.1288792130671,41.0314554160199
"12",-0.05,7,-4.8770575499286,22,14.3303576749815,31.3919653786318
"13",0,7,0,7,2.86052889074387,13.8919728455857
"14",0.05,7,5.12710963760241,18,11.0311229153261,26.9477085966812
"15",0.1,7,10.5170918075648,40,30.3294768702878,50.2790849577665
"16",-0.1,8,-9.51625819640405,59,48.7144203766771,68.7380023432429
"17",-0.05,8,-4.8770575499286,27,18.6066422290741,36.8016272908975
"18",0,8,0,9,4.19835956283923,16.3982255029635
"19",0.05,8,5.12710963760241,9,4.19835956283923,16.3982255029635
"20",0.1,8,10.5170918075648,42,32.1985539354797,52.2880804276086
"21",-0.1,9,-9.51625819640405,66,55.8466732249041,75.1776498455156
"22",-0.05,9,-4.8770575499286,24,16.0224613171447,33.5735489270998
"23",0,9,0,5,1.64318791820521,11.2834911105463
"24",0.05,9,5.12710963760241,21,13.4943695705329,30.2915379350541
"25",0.1,9,10.5170918075648,70,60.0185323820196,78.7593579510463
"26",-0.1,10,-9.51625819640405,76,66.4264510729002,83.9775386828553
"27",-0.05,10,-4.8770575499286,30,21.2406420489537,39.9814676179804
"28",0,10,0,6,2.23348860713164,12.6029934580823
"29",0.05,10,5.12710963760241,37,27.5566579614551,47.2351640551683
"30",0.1,10,10.5170918075648,88,79.9764316380031,93.6431097438841
"31",-0.1,11,-9.51625819640405,90,82.3777402259977,95.0995310778514
"32",-0.05,11,-4.8770575499286,21,13.4943695705329,30.2915379350541
"33",0,11,0,10,4.90046892214859,17.6222597740023
"34",0.05,11,5.12710963760241,39,29.4010414853417,49.2685520367636
"35",0.1,11,10.5170918075648,98,92.961606752893,99.7568663176057
"36",-0.1,12,-9.51625819640405,93,86.1080271544143,97.1394711092561
"37",-0.05,12,-4.8770575499286,51,40.8036329155454,61.1355834838362
"38",0,12,0,8,3.51715625181628,15.1557635864421
"39",0.05,12,5.12710963760241,42,32.1985539354797,52.2880804276086
"40",0.1,12,10.5170918075648,98,92.961606752893,99.7568663176057
"41",-0.1,13,-9.51625819640405,96,90.074284328734,98.8995506013812
"42",-0.05,13,-4.8770575499286,57,46.7133738324846,66.8608983368617
"43",0,13,0,7,2.86052889074387,13.8919728455857
"44",0.05,13,5.12710963760241,52,41.7789765406307,62.0994519822041
"45",0.1,13,10.5170918075648,99,94.5540614607919,99.9746853967023
"46",-0.1,14,-9.51625819640405,95,88.7165088894537,98.3568120817948
"47",-0.05,14,-4.8770575499286,67,56.8827249222437,76.0801465377398
"48",0,14,0,1,0.0253146032977436,5.44593853920806
"49",0.05,14,5.12710963760241,72,62.1332995282733,80.5206372508819
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,68,57.9233138368377,76.9780083238423
"53",0,15,0,3,0.62299715383064,8.517605297428
"54",0.05,15,5.12710963760241,73,63.1983727091025,81.3933577709259
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,78,68.6080346213682,85.6696423250185
"58",0,16,0,8,3.51715625181628,15.1557635864421
"59",0.05,16,5.12710963760241,81,71.9302042026387,88.1556803867456
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,99,94.5540614607919,99.9746853967023
"62",-0.05,17,-4.8770575499286,76,66.4264510729002,83.9775386828553
"63",0,17,0,5,1.64318791820521,11.2834911105463
"64",0.05,17,5.12710963760241,94,87.3970065419177,97.7665113928684
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,92,84.8442364135579,96.4828437481837
"68",0,18,0,5,1.64318791820521,11.2834911105463
"69",0.05,18,5.12710963760241,96,90.074284328734,98.8995506013812
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,94,87.3970065419177,97.7665113928684
"73",0,19,0,2,0.243133682394259,7.03839324710701
"74",0.05,19,5.12710963760241,99,94.5540614607919,99.9746853967023
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,97,91.482394702572,99.3770028461694
"78",0,20,0,6,2.23348860713164,12.6029934580823
"79",0.05,20,5.12710963760241,98,92.961606752893,99.7568663176057
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
