"","effect","years","perc_change","power","lower","upper"
"1",-0.1,5,-9.51625819640405,36,26.6408422733235,46.2121893327423
"2",-0.05,5,-4.8770575499286,18,11.0311229153261,26.9477085966812
"3",0,5,0,7,2.86052889074387,13.8919728455857
"4",0.05,5,5.12710963760241,5,1.64318791820521,11.2834911105463
"5",0.1,5,10.5170918075648,34,24.8223501544844,44.1533267750959
"6",-0.1,6,-9.51625819640405,42,32.1985539354797,52.2880804276086
"7",-0.05,6,-4.8770575499286,20,12.6655552101956,29.1842689088628
"8",0,6,0,8,3.51715625181628,15.1557635864421
"9",0.05,6,5.12710963760241,14,7.87054049269658,22.3727981370568
"10",0.1,6,10.5170918075648,60,49.7209150422335,69.6705231297123
"11",-0.1,7,-9.51625819640405,56,45.7187497063317,65.9163976276542
"12",-0.05,7,-4.8770575499286,21,13.4943695705329,30.2915379350541
"13",0,7,0,5,1.64318791820521,11.2834911105463
"14",0.05,7,5.12710963760241,17,10.2264910035528,25.8175410632159
"15",0.1,7,10.5170918075648,80,70.8157310911372,87.3344447898044
"16",-0.1,8,-9.51625819640405,85,76.4692499851045,91.3545614358352
"17",-0.05,8,-4.8770575499286,37,27.5566579614551,47.2351640551683
"18",0,8,0,7,2.86052889074387,13.8919728455857
"19",0.05,8,5.12710963760241,19,11.8443196132544,28.0697957973613
"20",0.1,8,10.5170918075648,91,83.6017744970365,95.8016404371608
"21",-0.1,9,-9.51625819640405,88,79.9764316380031,93.6431097438841
"22",-0.05,9,-4.8770575499286,41,31.2619976567571,51.2855796233229
"23",0,9,0,4,1.10044939861882,9.92571567126599
"24",0.05,9,5.12710963760241,46,35.9843352979412,56.2588420133529
"25",0.1,9,10.5170918075648,100,96.3783307354824,100
"26",-0.1,10,-9.51625819640405,90,82.3777402259977,95.0995310778514
"27",-0.05,10,-4.8770575499286,50,39.8321129503301,60.1678870496699
"28",0,10,0,3,0.62299715383064,8.517605297428
"29",0.05,10,5.12710963760241,69,58.9685445839801,77.8711207869329
"30",0.1,10,10.5170918075648,100,96.3783307354824,100
"31",-0.1,11,-9.51625819640405,95,88.7165088894537,98.3568120817948
"32",-0.05,11,-4.8770575499286,65,54.815063817603,74.2706221468549
"33",0,11,0,6,2.23348860713164,12.6029934580823
"34",0.05,11,5.12710963760241,73,63.1983727091025,81.3933577709259
"35",0.1,11,10.5170918075648,100,96.3783307354824,100
"36",-0.1,12,-9.51625819640405,100,96.3783307354824,100
"37",-0.05,12,-4.8770575499286,80,70.8157310911372,87.3344447898044
"38",0,12,0,11,5.62070202854874,18.8301132196443
"39",0.05,12,5.12710963760241,84,75.3212402589138,90.5689710026054
"40",0.1,12,10.5170918075648,100,96.3783307354824,100
"41",-0.1,13,-9.51625819640405,100,96.3783307354824,100
"42",-0.05,13,-4.8770575499286,82,73.0522914033188,88.9688770846739
"43",0,13,0,5,1.64318791820521,11.2834911105463
"44",0.05,13,5.12710963760241,94,87.3970065419177,97.7665113928684
"45",0.1,13,10.5170918075648,100,96.3783307354824,100
"46",-0.1,14,-9.51625819640405,100,96.3783307354824,100
"47",-0.05,14,-4.8770575499286,88,79.9764316380031,93.6431097438841
"48",0,14,0,6,2.23348860713164,12.6029934580823
"49",0.05,14,5.12710963760241,96,90.074284328734,98.8995506013812
"50",0.1,14,10.5170918075648,100,96.3783307354824,100
"51",-0.1,15,-9.51625819640405,100,96.3783307354824,100
"52",-0.05,15,-4.8770575499286,89,81.1698867803557,94.3792979714513
"53",0,15,0,7,2.86052889074387,13.8919728455857
"54",0.05,15,5.12710963760241,99,94.5540614607919,99.9746853967023
"55",0.1,15,10.5170918075648,100,96.3783307354824,100
"56",-0.1,16,-9.51625819640405,100,96.3783307354824,100
"57",-0.05,16,-4.8770575499286,96,90.074284328734,98.8995506013812
"58",0,16,0,7,2.86052889074387,13.8919728455857
"59",0.05,16,5.12710963760241,100,96.3783307354824,100
"60",0.1,16,10.5170918075648,100,96.3783307354824,100
"61",-0.1,17,-9.51625819640405,100,96.3783307354824,100
"62",-0.05,17,-4.8770575499286,97,91.482394702572,99.3770028461694
"63",0,17,0,1,0.0253146032977436,5.44593853920806
"64",0.05,17,5.12710963760241,100,96.3783307354824,100
"65",0.1,17,10.5170918075648,100,96.3783307354824,100
"66",-0.1,18,-9.51625819640405,100,96.3783307354824,100
"67",-0.05,18,-4.8770575499286,98,92.961606752893,99.7568663176057
"68",0,18,0,5,1.64318791820521,11.2834911105463
"69",0.05,18,5.12710963760241,100,96.3783307354824,100
"70",0.1,18,10.5170918075648,100,96.3783307354824,100
"71",-0.1,19,-9.51625819640405,100,96.3783307354824,100
"72",-0.05,19,-4.8770575499286,99,94.5540614607919,99.9746853967023
"73",0,19,0,5,1.64318791820521,11.2834911105463
"74",0.05,19,5.12710963760241,100,96.3783307354824,100
"75",0.1,19,10.5170918075648,100,96.3783307354824,100
"76",-0.1,20,-9.51625819640405,100,96.3783307354824,100
"77",-0.05,20,-4.8770575499286,100,96.3783307354824,100
"78",0,20,0,7,2.86052889074387,13.8919728455857
"79",0.05,20,5.12710963760241,100,96.3783307354824,100
"80",0.1,20,10.5170918075648,100,96.3783307354824,100
